organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,JUND,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18505,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,TRIM28,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",bronchus fibroblast of lung,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18498,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",left lobe of liver,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",gastrocnemius medialis,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19338,none,1
Homo sapiens,MS-MS,in vitro differentiated cells,"Morgan Giddings, UNC",neural cell,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03040,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02981,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03135,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Thomas Gingeras, CSHL",AG04450,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02810,none,1
Homo sapiens,genotyping array,cell line,"Richard Myers, HAIB",BJ,none,1
Homo sapiens,PRO-cap,cell line,"Haiyuan Yu, Cornell",REH cell,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",OCI-LY7,H3K4me2,1
Homo sapiens,DNase-seq,cell line,"Gregory Crawford, Duke",HepG2,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02807,none,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",articular chondrocyte of knee joint,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18861,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02861,none,1
Homo sapiens,genotyping array,primary cell,"Richard Myers, HAIB",foreskin fibroblast,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03108,none,1
Homo sapiens,genotyping array,cell line,"Richard Myers, HAIB",AG09309,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21528,none,1
Homo sapiens,TF ChIP-seq,cell line,"John Stamatoyannopoulos, UW",BJ,CTCF,1
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",K562,TEAD4,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18907,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,MEF2A,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19376,none,1
Homo sapiens,TF ChIP-seq,cell line,"Vishwanath Iyer, UTA",K562,CTCF,1
Homo sapiens,total RNA-seq,in vitro differentiated cells,"Thomas Gingeras, CSHL",bipolar neuron,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19028,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02799,none,1
Homo sapiens,DNase-seq,cell line,"Gregory Crawford, Duke",GM19238,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19474,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM18526,RELA,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02583,none,1
Homo sapiens,MRE-seq,cell line,"Richard Myers, HAIB",GM12892,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19455,none,1
unknown,TF ChIP-seq,cell line,"Sherman Weissman, Yale",MEL,CTCF,1
Homo sapiens,RRBS,primary cell,"Richard Myers, HAIB",myoblast,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",U-87 MG,POLR2AphosphoS5,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18516,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02922,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03311,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19438,none,1
Homo sapiens,Histone ChIP-seq,cell line,"John Stamatoyannopoulos, UW",GM12878,H3K36me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19397,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",colonic mucosa,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03464,none,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,IGF2BP1,1
Homo sapiens,genotyping array,cell line,"Richard Myers, HAIB",T47D,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03048,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19452,none,1
Homo sapiens,RNA-PET,cell line,"Yijun Ruan, JAX",H1,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18868,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21634,none,1
Homo sapiens,intact Hi-C,cell line,"Erez Aiden, Baylor",GM18510,none,1
Homo sapiens,Switchgear,cell line,"Scott Tenenbaum, SUNY-Albany",HT1080,ELAVL1,1
Homo sapiens,TF ChIP-seq,cell line,"Kevin Struhl, HMS",HeLa-S3,NFYA,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM18505,RELA,1
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",jejunum,none,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,CELF1,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",Loucy,H3K4me1,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K4me2,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",Loucy,H3K9ac,1
Homo sapiens,polyA plus RNA-seq,cell line,"Barbara Wold, Caltech",LHCN-M2,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",OCI-LY7,H3K9ac,1
Homo sapiens,Repli-chip,in vitro differentiated cells,"David Gilbert, FSU",lateral mesodermal cell,none,1
Homo sapiens,RNA microarray,cell line,"John Stamatoyannopoulos, UW",A549,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K27me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02938,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21367,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM12889,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18508,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",sciatic nerve,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21515,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03085,none,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",dermis blood vessel endothelial cell,none,1
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",umbilical cord,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",bile duct,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",HEK293,H3K4me1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21351,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21614,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",HCT116,H3K36me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19350,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03072,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21513,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02721,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03304,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03271,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03099,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19027,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03380,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03096,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",urinary bladder,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03162,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03521,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19038,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03060,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21491,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02613,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03117,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21678,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03366,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21786,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18876,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03515,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM19238,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19316,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",sternocleidomastoid,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21617,none,1
Homo sapiens,RNA microarray,cell line,"Gregory Crawford, Duke",GM12878,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03063,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21510,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03079,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02586,none,1
Homo sapiens,TF ChIP-seq,primary cell,"Bradley Bernstein, Broad",endothelial cell of umbilical vein,EZH2,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21371,none,1
Mus musculus,Histone ChIP-seq,cell line,"Sherman Weissman, Yale",CH12.LX,H3K4me3,1
Homo sapiens,PRO-cap,in vitro differentiated cells,"Haiyuan Yu, Cornell",osteocyte,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03084,none,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",lung microvascular endothelial cell,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21385,none,1
Homo sapiens,DNAme array,primary cell,"Richard Myers, HAIB",epithelial cell of prostate,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM19239,none,1
Mus musculus,TF ChIP-seq,in vitro differentiated cells,"Barbara Wold, Caltech",myocyte,USF1,1
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",parietal lobe,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03445,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21647,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",gastroesophageal sphincter,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM19099,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21381,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18519,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM18486,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM11920,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",tibial artery,none,1
Homo sapiens,PRO-cap,cell line,"Haiyuan Yu, Cornell",SP-49,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02943,none,1
Homo sapiens,capture Hi-C,cell line,"Michael Snyder, Stanford",HepG2,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",sigmoid colon,none,1
Homo sapiens,capture Hi-C,cell line,"Michael Snyder, Stanford",K562,none,1
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",parietal lobe,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19454,none,1
Homo sapiens,PRO-cap,in vitro differentiated cells,"Haiyuan Yu, Cornell",mesothelial cell of epicardium,none,1
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",occipital lobe,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",subcutaneous adipose tissue,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03025,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19451,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18871,none,1
Homo sapiens,PRO-cap,in vitro differentiated cells,"Haiyuan Yu, Cornell",neuron,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM20506,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03457,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02982,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03246,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19457,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21732,none,1
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",epithelial cell of esophagus,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21597,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",MCF-7,H3K27me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21333,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",H1,H2AFZ,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02635,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",HEK293,H3K9me3,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",HepG2,H3K9me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",SK-N-SH,TAF1,1
Homo sapiens,total RNA-seq,cell line,"Brenton Graveley, UConn",GM12878,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HeLa-S3,MAFK,1
Homo sapiens,PRO-cap,cell line,"Haiyuan Yu, Cornell",A549,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",GM12878,RUNX3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,REST,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03163,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",GM12878,ATF3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,EP300,1
Homo sapiens,TF ChIP-seq,primary cell,"Bradley Bernstein, Broad",skeletal muscle myoblast,CTCF,1
Homo sapiens,RNA microarray,cell line,"Gregory Crawford, Duke",CWRU1,none,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",K562,POLR2A,1
Mus musculus,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MEL,JUND,1
Mus musculus,TF ChIP-seq,in vitro differentiated cells,"Barbara Wold, Caltech",myocyte,REST,1
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",iris pigment epithelial cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",GM12878,PML,1
Homo sapiens,Control ChIP-seq,primary cell,"Peggy Farnham, USC",endothelial cell of umbilical vein,none,1
Homo sapiens,FAIRE-seq,cell line,"Jason Lieb, UNC",GM12892,none,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",K562,CREBBP,1
Homo sapiens,RRBS,tissue,"Richard Myers, HAIB",stomach,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,TBP,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,ARHGEF2,1
Homo sapiens,TF ChIP-seq,primary cell,"Michael Snyder, Stanford",endothelial cell of umbilical vein,JUN,1
Homo sapiens,TF ChIP-seq,primary cell,"Richard Myers, HAIB",endothelial cell of umbilical vein,POLR2AphosphoS5,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,NRF1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,POLR2AphosphoS5,1
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",dendritic cell,H3K9me3,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",Panc1,H3K27me3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,RFX5,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",A549,RAD21,1
Homo sapiens,Control ChIP-seq,cell line,"Peggy Farnham, USC",K562,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",A549,EP300,1
Homo sapiens,Control ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",endothelial cell of umbilical vein,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",NB4,MYC,1
Homo sapiens,TF ChIP-seq,cell line,"John Stamatoyannopoulos, UW",GM12873,CTCF,1
Mus musculus,PAS-seq,tissue,"Ali Mortazavi, UCI",layer of hippocampus,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,CEBPZ,1
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",tongue,none,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",HepG2,CTCF,1
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",renal cortical epithelial cell,none,1
Homo sapiens,DNase-seq,cell line,"Gregory Crawford, Duke",HuH-7.5,none,1
Homo sapiens,CAGE,tissue,"Piero Carninci, RIKEN",prostate gland,none,1
Homo sapiens,RRBS,primary cell,"Richard Myers, HAIB",kidney epithelial cell,none,1
Mus musculus,Histone ChIP-seq,in vitro differentiated cells,"Barbara Wold, Caltech",myocyte,H3K36me3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,HSF1,1
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad",astrocyte,H3K4me2,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18501,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,ZNF143,1
Mus musculus,Histone ChIP-seq,primary cell,"Ross Hardison, PennState",erythroblast,H3K9me3,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",H1,HDAC2,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,MXI1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,POLR2AphosphoS5,1
Homo sapiens,TF ChIP-seq,cell line,"John Stamatoyannopoulos, UW",MCF-7,CTCF,1
Homo sapiens,TF ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",fibroblast of pulmonary artery,CTCF,1
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",cardiac muscle cell,none,1
Homo sapiens,Control ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",keratinocyte,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,SREBF1,1
Mus musculus,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",telencephalon,none,1
Homo sapiens,TF ChIP-seq,cell line,"John Stamatoyannopoulos, UW",NB4,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,HEY1,1
Homo sapiens,TF ChIP-seq,cell line,"Kevin White, UChicago",K562,FOS,1
Homo sapiens,FAIRE-seq,cell line,"Jason Lieb, UNC",D721Med,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,RPRD1B,1
Homo sapiens,polyA minus RNA-seq,primary cell,"Thomas Gingeras, CSHL",fibroblast of lung,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",GM12878,RAD21,1
Homo sapiens,Mint-ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neural crest cell,H3K36me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,TAF7,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM12878,none,1
Mus musculus,Histone ChIP-seq,cell line,"Bing Ren, UCSD",MEL,H3K9ac,1
Homo sapiens,Control Mint-ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,none,1
Homo sapiens,Mint-ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neural crest cell,H3K4me3,1
Homo sapiens,TF ChIP-seq,in vitro differentiated cells,"Richard Myers, HAIB",neural cell,POLR2AphosphoS5,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,SMAD4,1
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad",mammary epithelial cell,H3K9ac,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,SP2,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,ZC3H10,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",DND-41,H3K36me3,1
Mus musculus,polyA plus RNA-seq,primary cell,"Ross Hardison, PennState",erythroblast,none,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,SF3B6,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM12282,none,1
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",amniotic epithelial cell,none,1
Homo sapiens,TF ChIP-seq,primary cell,"Bradley Bernstein, Broad",fibroblast of dermis,EZH2,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,POLR3G,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",GOT3,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",GM12878,H3K79me2,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",kidney,none,1
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",cardiac muscle cell,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19379,none,1
